X1,BAVA DC Equity,BO DC Equity,COLUM DC Equity,DNORD DC Equity,HART DC Equity,HOEJA DC Equity,HOEJB DC Equity,IC DC Equity,JUTBK DC Equity,MATAS DC Equity,NNIT DC Equity,ORPHA DC Equity,PAALB DC Equity,SAS DC Equity,SOLARB DC Equity,SPG DC Equity,SPKSJF DC Equity,TIV DC Equity,TRMDA DC Equity,UIE DC Equity,VELO DC Equity,VJBA DC Equity,ZEAL DC Equity,AAB DC Equity,ADMCAP B DC Equity,AGFB DC Equity,AMB DC Equity,AOJP DC Equity,ARKILB DC Equity,ATHENA DC Equity,ATLA DC Equity,BIF DC Equity,BIOPOR DC Equity,BLVISA DC Equity,BOLIGA DC Equity,BORDB DC Equity,CBRAIN DC Equity,CEMAT DC Equity,CHEMM DC Equity,CPHCAPPREF DC Equity,CPHCAPST DC Equity,DAB DC Equity,DANT DC Equity,DJUR DC Equity,DLH DC Equity,EGEB DC Equity,FED DC Equity,FFARMS DC Equity,FLUGB DC Equity,FYNBK DC Equity,GABR DC Equity,GERHSP DC Equity,GJ DC Equity,GRLA DC Equity,GYLDA DC Equity,GYLDB DC Equity,HARBB DC Equity,HH DC Equity,HVID DC Equity,IMAIL DC Equity,KLEEB DC Equity,KRE DC Equity,LASP DC Equity,LOLB DC Equity,LUXORB DC Equity,MIGAB DC Equity,MNBA DC Equity,MTB DC Equity,NEUR DC Equity,NEWCAP DC Equity,NORDIC DC Equity,NORTHM DC Equity,NRDF DC Equity,NTRB DC Equity,ONXEO DC Equity,PARKEN DC Equity,PRIMOF DC Equity,PSNRDCA DC Equity,RBLNB DC Equity,RIASB DC Equity,ROV DC Equity,RTX DC Equity,SALB DC Equity,SANI DC Equity,SBS DC Equity,SCD DC Equity,SFG DC Equity,SIF DC Equity,SKAKO DC Equity,SKJE DC Equity,SPEAS DC Equity,STRINV DC Equity,TCM DC Equity,TKDV DC Equity,TOTA DC Equity,VIPRO DC Equity
30-11-2017,16.2887,,20.5193,,16.8975,84.3148,84.0899,150.6121,7.5696,9.5038,21.1397,,13.3456,,12.3807,17.5216,7.5404,63.9322,5.0027,14.8731,22.9255,9.7456,,3.2104,,,2.4713,9.8265,,7.8276,0.6158,,,,7.2965,79.4157,122.2988,,62.5959,,,8.1322,,6.4506,,16.3817,8.1474,,23.065,10.9528,27.1487,4.2780000000000005,,12.4401,18.0915,9.3428,35.3749,11.8265,7.3896,,11.7155,,8.9668,1.0331,20.7816,23.456,12.7124,82.9479,4.2957,,4.5625,,7.1442,64.4192,,16.4853,6.7421,3.5294,39.3412,15.5206,,24.2537,6.3034,,34.6245,7.0803,,8.4407,12.6323,5.7393,7.182,8.8746,,30.4945,5.8839999999999995,
31-10-2017,17.9141,,18.9409,,17.608,84.5396,84.7644,152.5554,7.9342,8.6563,22.3039,,13.0148,,13.3744,19.5236,8.1305,63.8178,5.0027,14.7931,23.6979,9.6468,,3.3269,,,2.6674,10.3972,,8.2037,0.6158,,,,7.607,82.3655,146.6889,,66.5472,,,9.0358,,6.5542,,17.0504,8.1474,,24.2165,11.2046,26.6779,4.3686,,12.5381,22.6144,10.2014,38.1092,12.4995,7.6738,,12.3961,,8.7664,1.0985,20.065,23.7923,12.585,82.9479,4.1883,,4.5625,,7.1442,64.4192,,16.9497,6.6612,3.7941,44.2724,15.8524,,28.2836,6.5442,,34.1299,7.1271,,9.0206,13.8166,6.0626,7.1431,9.0166,,34.536,6.3743,
29-09-2017,19.4703,,17.9365,,18.8512,89.4861,89.4861,132.6358,7.4431,11.1382,23.2843,,13.603,,12.4947,18.9076,8.2944,66.2196,5.0027,14.9345,27.0869,13.3343,,3.5597,,,3.0008,10.7943,,8.3922,0.6158,,,,7.0636,40.7648,158.5355,,62.388000000000005,,,9.1227,,6.4117,,17.0272,8.1474,,31.8642,11.7082,24.8471,4.4081,,12.3814,20.352999999999998,9.812999999999999,16.2188,10.9611,7.4427,,11.72,,9.0621,1.1699,19.4917,22.8675,13.0629,82.9479,4.1645,,4.5625,,7.2879,64.4192,,18.575,6.6073,4.1471,20.3864,14.8218,,26.8657,6.2751,,33.6353,7.1271,,9.4716,12.9481,6.0626,5.2465,8.9456,,34.9034,6.7666,
31-08-2017,58.1264,,18.2373,,20.835,92.8587,92.1841,217.7597,7.6247,10.5939,20.7304,,13.8936,,12.3684,19.395,7.8922,66.3233,5.0027,12.4792,20.6524,15.4516,,3.4932,,,2.6282,10.7694,,8.3959,0.6158,,,,7.1024,41.8404,159.2323,,69.4586,,,7.5065,,7.0387,,17.1843,8.2306,,30.4677,11.0314,27.1664,4.4408,,11.9968,19.6746,10.1401,16.9429,11.2468,7.6093,,10.7893,,9.2388,1.1493,17.9241,23.4981,12.1415,83.1522,4.1764,,4.5625,,8.4511,64.4192,,18.8524,6.3507,3.7647,18.9901,14.4771,,37.3333,6.3513,,38.3343,6.1067,,10.6958,15.3166,6.4147,5.523,6.602,,35.6382,7.9859,
31-07-2017,55.1765,,19.8422,,21.7385,96.2312,96.0064,228.0913,7.5917,11.2924,21.5897,,12.2844,,12.9938,20.6868,8.0155,68.1219,5.0027,12.5111,21.7067,12.0288,,4.1253,,,3.4912,10.9183,,8.5223,0.6158,,,,7.607,42.916000000000004,156.0965,,69.2506,,,6.7022,,6.8647,,17.5927,7.898,,31.8218,11.0314,30.1607,4.3045,,11.8265,19.2223,10.2832,17.2325,10.9912,7.7759,,11.1895,,9.7008,1.1299,16.702,23.5401,11.6465,87.8512,4.1883,,4.5625,,7.7962,64.4192,,19.4135,6.324,4.1471,18.5991,15.1665,,36.0,6.4367,,35.1192,6.186,,9.1494,14.9705,6.0349,5.2819,6.602,,39.3122,7.8765,
30-06-2017,51.4221,,20.2799,,21.7102,,97.1306,222.5281,7.4431,11.9909,21.3212,,12.4022,,13.1154,21.2872,7.7689,68.4592,5.0027,12.4113,20.4124,8.8993,,4.1253,,,3.2558,10.4965,,8.3987,0.6158,,,,7.8398,44.3681,149.1279,,67.587,,,6.4341,,6.6908,,15.9591,7.7317,,37.0415,10.3755,30.3241,4.0467,,11.7509,16.1265,10.2219,17.7393,11.0934,7.7759,,10.8022,,10.4046,1.1045,9.2149,22.3631,11.5883,83.7651,4.1287,,4.5625,,7.6403,64.4192,,19.1891,6.5381,3.5,17.1122,14.8218,,35.8889,6.2489,,34.1299,6.067,,8.8273,13.1533,5.6129,6.3851,6.6544,,145.4697,7.6577,
31-05-2017,71.3737,,20.0154,,15.0354,,,19.8718,8.4716,12.5144,22.5523,,12.53,,11.3459,19.1437,8.5505,63.2404,5.0027,15.8674,,23.3934,,12.4871,,,54.5264,14.3534,,9.504,0.7271,,,,5.3854,19.034000000000002,105.42399999999999,,101.8546,,,11.2111,,7.8791,,15.5821,8.1058,,37.3411,8.7083,30.4199,4.4837,,12.4246,16.1265,10.7943,17.5221,11.3528,9.0826,,10.7634,,10.7164,1.1663,8.9845,17.4277,12.8009,18.9634,4.0466,,4.5625,,7.7044,64.4192,,28.1332,6.7833,4.7941,15.9714,14.615,,37.907,8.4916,,38.3343,6.7739,,35.9449,12.3091,6.3551,6.3542,4.4765,,148.2405,9.3041,
28-04-2017,74.0428,,19.8734,,14.5734,,,22.7008,8.2442,12.0024,21.1771,,13.8343,,11.6701,19.5434,8.1326,70.7133,5.0027,14.7927,,22.7818,,11.9303,,,52.103,15.4155,,9.8035,0.6813,,,,5.8426,18.8169,117.92399999999999,,101.5602,,,11.2111,,7.7693,,14.9852,7.6486,,37.1414,8.4045,30.0397,4.2497,,12.1611,16.0018,10.8965,19.1874,10.4205,9.0204,,11.4047,,10.7359,1.1945,8.9154,19.012,13.2604,18.9634,4.2421,,4.5625,,7.9121,64.4192,,29.7137,6.5926,3.8236,16.361,15.3733,,48.0233,8.1519,,38.9526,6.6854,,32.4315,11.9195,5.7943,7.1746,4.7139,,160.7093,8.3868,
31-03-2017,69.9897,,20.7252,,13.1874,,,22.7008,8.1115,11.2629,20.6271,,13.2019,,11.3459,14.068,8.3255,66.1403,5.0027,14.017000000000001,,20.3354,,11.3736,,,47.5591,12.873,,8.8483,0.7140000000000001,,,,6.0459,19.2993,124.9994,,102.4433,,,11.2578,,7.627999999999999,,14.2784,7.1913,,39.5163,8.4045,30.8545,4.1977,,11.9178,16.2096,10.7739,,10.5301,8.6471,,11.6269,,10.0734,1.2023,9.5292,18.3783,13.1291,18.9634,4.2421,,4.5625,,7.0329999999999995,64.4192,,27.3429,6.7561,1.8824,13.0597,15.7642,,44.3023,7.5054,,35.3665,6.9510000000000005,,32.4315,11.4521,5.6074,9.7915,4.4087,,167.6365,7.8626,
28-02-2017,424.0856,,20.8557,,14.062000000000001,,,15.4314,9.7004,11.5425,21.5973,,11.2995,,19.704,16.1281,8.5379,55.222,5.0027,16.0446,,29.8186,,11.9701,,,45.1357,11.3154,,7.8948,3.4566,,,,6.3507,16.7246,123.8202,,100.0883,,,48.0778,,8.8933,,14.1878,6.9419,,38.216,11.8596,29.0151,6.7643,,14.7459,15.8148,10.6716,,8.2213,10.7401,,11.6486,,9.4607,1.1106,9.4055,15.5265,15.4699,18.9634,4.1846,,4.5625,,7.7435,64.4192,,12.4678,6.8001,1.2471,12.1054,15.2104,,25.8621,11.0975,,32.7697,12.82,,31.8909,15.7413,7.471,9.8543,7.148,,133.0008,8.042,
