Dates,BAVA DC Equity,BO DC Equity,COLUM DC Equity,DNORD DC Equity,HART DC Equity,HOEJA DC Equity,HOEJB DC Equity,IC DC Equity,JUTBK DC Equity,MATAS DC Equity,NNIT DC Equity,ORPHA DC Equity,PAALB DC Equity,SAS DC Equity,SOLARB DC Equity,SPG DC Equity,SPKSJF DC Equity,TIV DC Equity,TRMDA DC Equity,UIE DC Equity,VELO DC Equity,VJBA DC Equity,ZEAL DC Equity,AAB DC Equity,ADMCAP B DC Equity,AGFB DC Equity,AMB DC Equity,AOJP DC Equity,ARKILB DC Equity,ATHENA DC Equity,ATLA DC Equity,BIF DC Equity,BIOPOR DC Equity,BLVISA DC Equity,BOLIGA DC Equity,BORDB DC Equity,CBRAIN DC Equity,CEMAT DC Equity,CHEMM DC Equity,CPHCAPPREF DC Equity,CPHCAPST DC Equity,DAB DC Equity,DANT DC Equity,DJUR DC Equity,DLH DC Equity,EGEB DC Equity,FED DC Equity,FFARMS DC Equity,FLUGB DC Equity,FYNBK DC Equity,GABR DC Equity,GERHSP DC Equity,GJ DC Equity,GRLA DC Equity,GYLDA DC Equity,GYLDB DC Equity,HARBB DC Equity,HH DC Equity,HVID DC Equity,IMAIL DC Equity,KLEEB DC Equity,KRE DC Equity,LASP DC Equity,LOLB DC Equity,LUXORB DC Equity,MIGAB DC Equity,MNBA DC Equity,MTB DC Equity,NEUR DC Equity,NEWCAP DC Equity,NORDIC DC Equity,NORTHM DC Equity,NRDF DC Equity,NTRB DC Equity,ONXEO DC Equity,PARKEN DC Equity,PRIMOF DC Equity,PSNRDCA DC Equity,RBLNB DC Equity,RIASB DC Equity,ROV DC Equity,RTX DC Equity,SALB DC Equity,SANI DC Equity,SBS DC Equity,SCD DC Equity,SFG DC Equity,SIF DC Equity,SKAKO DC Equity,SKJE DC Equity,SPEAS DC Equity,STRINV DC Equity,TCM DC Equity,TKDV DC Equity,TOTA DC Equity,VIPRO DC Equity
30-11-2017,235.5,143.0,14.3,127.0,333.0,187.5,187.0,155.0,218.0,78.5,172.5,75.0,181.5,19.3,380.0,204.8,114.2014,559.0,55.5,1305,0.815,2.96,88.5,193.0,,0.195,63.0,396.0,,6.25,7.95,,3.5,0.57,9.4,700,35.1,0.42,30.1,1.72,2.01,4.68,,249.0,1.19,245.0,98.0,57.0,340.5,87.0,519.0,142.0,49.0,635,800,457,103.5,103.0,65.0,,2599,2616,470.0,340.0,435.0,279.0,161.2624,187.0,3.6,1.73,0.62,36.6,994,38.5,8.25,71.0,125.0,6.0,363.0,421.0,0.155,162.5,222.5,,28.0,75.5,47.1,13.1,80.0,71.0,7390,1.25,97.0,8.3,60.0,1.4
31-10-2017,259.0,148.0,13.2,132.9,347.0,188.0,188.5,157.0,228.5,71.5,182.0,,177.0,19.6,410.5,228.2,123.1389,558.0,61.5,1325,0.86,2.93,118.0,200.0,,0.218,68.0,419.0,,6.55,9.3,,3.5,0.7,9.8,726,42.1,0.44,32.0,1.72,1.75,5.2,,253.0,1.17,255.0,98.0,58.0,357.5,89.0,510.0,145.0,52.0,640,1000,499,111.5,108.8617,67.5,,2750,2571,459.5,361.5,420.0,283.0,159.6458,199.0,3.51,1.92,0.67,37.5,994,37.1,10.6,73.0,123.5,6.45,408.5,430.0,0.18,189.5,231.0,,27.6,76.0,50.0,14.0,87.5,75.0,7350,1.27,,9.4,65.0,1.53
29-09-2017,281.5,136.0,12.5,134.5,371.5,199.0,199.0,136.5,225.5,92.0,190.0,,185.0,20.2,383.5,221.0,125.6216,579.0,63.5,1320,0.97,4.05,121.5,214.0,,0.22399999999999998,76.5,435.0,,6.7,9.55,,3.25,0.7,9.1,758,45.5,0.47,30.0,1.75,1.75,5.25,,247.5,1.34,271.0,98.0,58.5,376.5,93.0,475.0,145.0,56.0,632,900,480,112.0,95.4634,67.0,,2600,2640,475.0,385.0,408.0,272.0,165.7083,203.0,3.49,2.18,0.725,29.0,1014,37.0,13.7,80.0,122.5,7.05,365.0,430.0,0.168,180.0,221.5,,27.2,76.0,52.5,14.7,82.0,75.0,7400,1.26,,9.5,69.0,3.5
31-08-2017,433.5,125.0,12.5,132.9,369.0,206.5,205.0,137.0,231.0,91.0,193.0,,177.0,15.3,356.0,213.2,127.1112,590.0,67.5,1314,1.05,3.4891,119.0,210.0,,0.23800000000000002,67.0,434.0,,6.7,9.3,,3.34,0.795,9.15,778,45.7,0.289,33.4,1.57,1.63,5.6,,263.0,1.67,273.5,99.0,62.0,360.0,92.5,499.0,146.0,53.0,634,870,496,117.0,92.1138,68.5,,2507,2650,480.0,385.0,440.0,279.5,168.5374,203.5,3.5,2.25,0.74,28.7,1084,36.5,30.3,84.0,119.0,6.4,340.0,420.0,0.22,168.0,268.8,,31.0,77.0,53.0,16.6,88.5,76.0,7790,1.26,,9.7,73.0,2.3681
31-07-2017,411.5,110.0,13.6,124.6,385.0,214.0,213.5,143.5,230.0,97.0,201.0,,156.5,15.0,374.0,227.4,129.0973,606.0,65.5,1325,1.11,2.7162,125.0,248.0,,0.255,89.0,440.0,,6.8,9.75,,2.67,0.615,9.8,798,44.8,0.28,33.3,1.65,1.72,5.0,,256.5,2.01,280.0,95.0,62.0,376.0,92.5,554.0,141.5,49.5,625,850,503,119.0,90.0203,70.0,,2600,2494,504.0,378.5,410.0,280.0,161.6666,215.0,3.51,2.32,0.785,29.0,1000,36.0,29.6,86.5,118.5,7.05,333.0,440.0,0.222,162.0,272.413,,28.4,78.0,57.0,14.2,86.5,71.5,7450,1.26,,10.7,72.0,2.2267
30-06-2017,383.5,109.0,13.9,118.3,384.5,217.0,216.0,140.0,225.5,103.0,198.5,,158.0,14.2,377.5,234.0,125.1251,609.0,63.5,1360,1.08,2.0096,130.5,248.0,,0.22399999999999998,83.0,423.0,,6.7,9.65,,2.68,0.535,10.1,825,42.8,0.299,32.5,,1.77,4.8,,250.0,1.99,254.0,93.0,59.0,371.0,87.0,557.0,133.0,50.0,621,776,500,122.5,90.8577,70.0,,2510,2500,534.0,370.0,400.0,266.0,160.8583,205.0,3.46,2.33,0.75,22.0,980,35.5,31.2,85.5,120.0,5.95,307.5,430.0,0.192,161.5,264.464,,27.6,76.5,55.5,13.7,76.0,66.5,8250,1.27,,10.5,70.0,2.5272
31-05-2017,361.0,103.0,14.1,113.1,358.0,229.0,229.5,144.0,223.5,110.0,205.0,,158.5,12.2,385.0,191.6,132.0764,567.0,64.5,1357,1.09,3.3787,119.0,251.2,,0.21,90.0,446.0,,7.95,11.1,,2.64,0.45399999999999996,10.6,789,44.7,0.316,34.6,,1.6027,4.8,,251.0,1.91,248.0,97.5,54.0,374.0,86.0,560.0,125.0,51.5,613,776,528,121.0,86.6707,73.0,,2501,2500,550.0,373.0,390.0,275.0,157.6249,216.0,3.52,2.29,0.77,19.0,964,36.0,31.1,89.0,124.5,8.15,287.0,424.0,0.21,163.0,280.0,,31.0,76.5,58.0,13.3,79.0,68.0,8210,1.32,,10.7,71.0,2.6155
28-04-2017,374.5,102.0,14.0,136.5,347.0,243.0,242.0,164.5,217.5,105.5,192.5,,175.0,11.1,396.0,195.6,125.6216,634.0,68.5,1304,1.09,3.2904,122.0,240.0,,0.191,86.0,479.0,,8.2,10.4,,2.35,0.496,11.5,780,50.0,0.326,34.5,,1.7611,4.8,,247.5,1.69,238.5,92.0,55.5,372.0,83.0,553.0,118.5,40.5,600,770,533,132.5,79.5528,72.5,,2650,2393,551.0,382.0,387.0,300.0,163.2833,240.0,3.69,2.2,0.81,18.7,990,36.0,19.6,94.0,121.0,6.5,294.0,446.0,0.25,206.5,268.8,,31.5,75.5,60.0,12.0,76.5,62.0,9270,1.39,,11.6,64.0,2.8453
31-03-2017,354.0,96.5,14.6,141.2,314.0,241.0,232.5,164.5,214.0,99.0,187.5,,167.0,11.2,385.0,140.8,128.6008,593.0,71.0,1259,1.06,2.9371,112.5,228.8,,0.20199999999999999,78.5,400.0,,7.4,10.9,,2.39,0.491,11.9,800,53.0,0.316,34.8,,1.7425,4.82,,243.0,1.39,236.5,86.5,53.0,349.5,83.0,568.0,117.0,40.9,588,780,527,130.5,80.3902,69.5,,2670,2450,517.0,384.5,385.0,290.0,161.6666,274.0,3.69,2.26,0.83,16.5,880,36.1,20.6,86.5,124.0,3.2,260.0,427.0,0.281,190.5,247.484,,28.6,78.5,58.0,12.0,73.5,60.0,9350,1.3,,12.1,60.0,2.7922
28-02-2017,279.0,99.5,14.6,133.6,355.5,249.5,245.0,167.5,218.0,101.5,192.0,,163.5,11.5,390.0,135.0,122.6424,501.0,70.5,1248,1.11,3.2241,115.0,240.8,,0.215,74.5,351.6,,6.6,11.6,,2.57,0.349,12.5,807,52.5,0.31,34.0,,1.7984,5.0,,245.0,1.05,235.0,83.5,51.5,338.0,83.0,520.0,110.5,39.0,634,761,522,140.5,61.9675,73.0,,2675,2450,485.0,325.5,380.0,245.0,161.6666,279.5,3.64,2.27,0.855,13.8,835,40.6,18.9,76.0,128.5,2.12,241.0,412.0,0.16399999999999998,150.0,277.10900000000004,,26.5,78.0,57.0,11.8,84.5,58.5,9410,1.25,,9.6,58.0,3.0573
31-01-2017,270.0,100.5,15.2,122.5,367.5,272.0,248.0,143.0,219.5,100.5,181.5,,178.0,11.2,371.5,135.0,119.1667,480.0,64.5,1245,1.17,3.6437,116.5,209.6,,0.23,70.5,326.2,,6.7,12.1,,2.39,0.37,13.1,805,57.0,0.33299999999999996,37.5,,1.6773,4.77,,251.0,1.18,241.5,89.0,53.0,337.0,83.0,565.0,112.5,37.4,625,805,530,140.5,64.0609,78.5,,2674,2462,495.0,360.0,394.5,248.0,163.2833,270.0,3.46,2.33,0.865,13.8,902,37.5,20.0,71.5,128.5,2.01,229.0,435.0,0.14300000000000002,141.0,281.806,,26.5,74.5,58.0,11.2,92.0,60.0,9360,1.24,,9.7,60.0,2.7215
30-12-2016,249.0,80.0,10.7,110.5,338.0,239.0,224.0,148.0,191.0,96.5,204.0,,176.0,10.7,361.0,134.8,106.257,441.0,63.5,1241,1.08,2.8708,106.5,203.2,,0.223,46.0,336.7,,6.65,11.8,,2.1,0.47200000000000003,14.3,808,55.5,0.32,34.6,,1.7611,4.14,,232.5,1.01,233.0,82.0,47.9,327.5,76.0,464.5,117.0,41.0,614,810,520,139.0,63.2235,61.5,,2750,2370,455.0,299.0,350.0,232.0,145.4999,230.0,3.01,2.25,0.76,13.2,782,34.1,18.6,69.0,133.0,1.3,229.0,423.0,0.142,141.5,237.729,,26.7,70.0,56.0,9.75,92.5,53.5,9290,0.94,,9.45,42.1,1.0639
30-11-2016,227.5,73.5,10.7,106.9,334.0,225.0,210.0,146.0,186.0,98.0,199.5,,160.0,11.4,351.0,131.8,104.2709,439.0,55.5,1243,1.08,2.3187,110.0,189.6,,0.23199999999999998,46.2,294.0,,7.2,11.6,,1.73,0.48,12.6,820,49.4,0.312,37.5,,1.7052,3.8,,215.0,0.98,220.0,84.0,48.5,331.5,71.0,558.0,122.0,45.0,602,741,520,142.0,56.1057,49.0,,2799,2200,425.0,280.0,343.0,228.0,138.6291,227.0,3.05,2.06,0.895,13.2,763,34.0,18.1,73.0,120.0,1.35,231.0,380.0,0.14800000000000002,126.0,190.03900000000002,,25.8,69.0,57.0,8.4,107.5,46.0,11290,0.9,,8.2,39.8,0.919
31-10-2016,230.0,75.0,11.0,96.45,335.0,282.5,282.0,160.0,170.5,131.5,201.5,,160.0,11.6,372.5,125.0,100.2987,428.5,58.0,1255,1.22,2.0537,94.0,208.8,,0.24100000000000002,46.2,260.0,,8.7,13.3,,1.7,0.42,13.6,813,55.5,0.318,36.2,,1.5841,3.33,,217.5,0.895,211.5,86.5,46.3,332.0,68.0,564.0,118.0,45.6,602,706,516,140.5,56.9431,43.4,,2850,2150,373.0,250.5,335.0,248.0,129.3333,284.0,2.41,2.1,0.91,13.5,770,33.9,17.8,76.5,123.0,1.25,235.5,375.0,0.153,117.5,184.25799999999998,,26.2,70.5,66.0,8.25,94.0,44.0,11100,0.875,,8.95,46.0,0.7069
30-09-2016,250.0,68.5,11.4,94.7,310.0,275.5,284.5,165.0,165.5,124.0,205.5,,159.0,13.0,377.5,125.8,100.7952,441.0,60.5,1227,1.18,2.0206,98.5,218.4,,0.27,46.1,249.7,,8.45,11.2,,1.92,0.4,15.0,810,64.0,0.314,35.4,,1.64,2.59,,212.0,0.79,206.0,82.0,46.0,331.0,67.0,570.0,115.5,49.8,601,787,529,138.0,61.5488,40.4,,2699,2161,384.0,243.0,333.5,229.0,114.7833,282.0,2.4,2.05,0.915,14.4,688,34.3,19.0,75.5,110.5,2.0,239.0,390.0,0.157,113.0,181.00599999999997,,27.9,70.5,66.5,7.4,81.0,40.0,11130,0.86,,7.8,42.0,1.0674
31-08-2016,242.5,67.5,11.2,89.0,313.0,320.0,279.5,182.0,165.0,124.0,225.0,,159.5,13.9,382.5,139.0,99.8021,464.0,59.5,1238,1.31,2.12,112.0,228.8,,0.28300000000000003,49.4,264.7,,8.0,12.5,,2.25,0.461,14.6,803,47.5,0.325,34.8,,1.5841,2.64,,220.0,0.8,216.0,87.0,46.0,345.0,68.0,439.5,107.0,47.0,600,732,505,144.5,64.0609,39.8,,2769,2185,380.0,230.5,328.5,246.0,107.5083,298.0,2.59,2.25,0.885,14.4,650,32.5,23.1,76.0,103.0,1.9,241.5,384.5,0.17,112.5,172.335,,21.9,76.0,63.5,7.3,74.5,36.3,12650,0.87,,7.2,40.0,1.2229
29-07-2016,253.5,73.0,10.0,99.6,289.0,333.0,327.0,167.5,152.5,117.5,274.5,,156.0,13.2,340.0,133.0,89.375,460.0,64.0,1268,1.42,1.7225,129.5,206.4,,0.314,44.5,239.4,,8.4,9.8,,2.39,0.5,14.9,769,46.5,0.305,33.9,,1.3884,2.6,,202.5,0.78,218.5,85.0,45.5,361.0,64.0,414.5,104.0,50.5,582,789,539,145.0,60.2927,37.5,,2535,2205,376.0,227.0,325.0,252.0,112.7625,339.5,2.67,2.25,1.05,13.5,594,31.1,23.2,65.0,100.5,1.95,238.5,390.0,0.132,123.5,153.548,,21.0,73.5,60.5,6.5,63.0,30.7,12340,0.83,,7.55,42.2,1.3078
30-06-2016,233.0,58.5,8.4,93.1,272.5,323.0,315.0,172.0,152.5,113.5,230.0,,145.5,12.8,310.0,103.8,87.3889,457.5,67.5,1165,1.1,1.7556,119.5,203.2,,0.26899999999999996,45.0,210.0,,7.6,10.1,,2.31,0.32,12.7,790,39.0,0.285,33.8,,1.4723,2.5,,187.0,0.555,205.0,81.0,45.5,352.5,59.0,324.0,97.0,46.5,581,690,520,129.0,56.5244,36.8,,2500,2220,370.0,196.5,316.0,250.0,113.1666,323.0,2.5,2.05,0.92,13.5,573,31.7,18.9,62.0,96.0,1.98,226.0,393.5,0.135,110.0,153.91,,21.0,68.0,55.0,6.4,62.0,28.9,12100,0.78,,7.0,39.5,1.2371
31-05-2016,255.5,64.0,8.65,103.2,273.0,337.0,333.5,184.0,159.0,117.5,237.0,,164.5,18.6,316.5,88.4,87.3889,465.0,82.0,1110,1.18,1.7777,124.0,196.8,,0.27,49.0,215.0,,6.225,10.8,,2.6,0.33,14.1,796,41.8,0.205,32.2,,1.4443,2.59,,208.0,0.49,194.0,88.5,45.5,367.0,58.0,328.0,93.0,51.0,595,700,515,115.0,68.6666,37.0,,2650,2246,385.0,184.5,324.0,255.5,116.4,334.5,2.76,2.12,1.06,13.7,570,33.0,23.0,63.0,98.0,2.03,215.5,390.0,0.138,94.0,164.748,,22.9,64.5,61.5,6.2,59.0,30.7,12520,0.77,,7.5,42.8,1.5198
29-04-2016,248.0,70.5,8.0,113.9,262.5,346.0,350.0,220.0,168.5,124.0,177.0,,179.5,18.6,334.0,78.8,77.4584,465.5,82.5,968,1.33,2.0096,129.0,218.4,,0.289,47.0,200.0,,6.55,11.0,,4.61,0.43,16.2,779,43.4,0.265,36.5,,1.4069999999999998,3.6,,215.5,0.499,203.0,78.0,44.7,359.0,62.0,288.0,95.0,46.0,598,720,528,114.0,60.2927,39.9,,2600,2240,385.0,171.0,325.0,245.0,118.0166,358.5,2.46,2.1,1.04,13.8,580,30.5,24.9,62.5,97.0,2.0,219.0,400.0,0.135,88.5,173.78,,22.6,64.0,62.5,5.5,59.0,32.1,14270,0.76,,6.75,41.2,1.8556
31-03-2016,245.0,71.0,7.7,95.45,276.0,354.0,360.0,212.0,175.0,132.5,170.0,,180.0,18.4,333.0,73.0,81.4306,397.5,,985,1.46,1.9985,135.0,224.0,,0.28,35.2,198.9,,6.3,11.2,,4.66,0.36,16.5,774,37.8,0.28,39.4,,1.4164,4.14,,230.0,0.49,209.5,72.5,41.0,353.0,65.0,255.0,87.0,44.5,609,730,540,112.5,64.0609,38.0,,2697,2245,396.0,180.0,322.0,235.0,109.9333,384.0,2.33,2.08,1.08,13.8,569,31.2,23.4,59.5,92.0,1.86,215.5,400.0,0.12300000000000001,81.5,178.11599999999999,,19.5,70.0,62.5,5.65,49.6,32.5,14200,0.76,,7.05,41.9474,2.4034
29-02-2016,283.0,69.5,7.25,96.55,269.0,390.0,395.0,222.5,179.0,131.5,170.0,,188.0,18.3,342.0,68.0,81.4306,381.0,,984,1.77,2.0869,120.0,240.0,,0.289,33.0,195.0,,6.1,5.85,,4.35,0.424,16.0,779,39.2,0.264,41.1,,1.2859,3.42,,225.0,0.46,214.0,62.5,41.0,357.0,66.0,240.5,84.0,45.9,642,670,529,112.0,61.9675,39.2,,2889,2200,409.0,167.0,318.0,225.0,113.1666,412.0,2.45,2.15,1.08,12.5,595,30.8,21.4,55.5,76.0,1.9,216.0,385.0,0.13699999999999998,77.5,180.645,,29.1,69.0,62.0,6.65,40.4,31.2,14200,0.765,,6.9,40.0,2.1384
